Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,0,30830,1169,2611,2644,2680,66,0
0,1,30856,1167,2594,2654,2663,66,0
0,2,30851,1168,2582,2667,2662,70,0
0,3,30838,1172,2570,2675,2673,72,0
0,4,30830,1178,2557,2684,2678,73,0
0,5,30818,1175,2545,2688,2693,81,0
0,6,30844,1179,2532,2698,2664,83,0
0,7,30843,1181,2517,2714,2657,88,0
0,8,30838,1187,2506,2718,2662,89,0
0,9,30831,1193,2495,2731,2660,90,0
0,10,30813,1197,2484,2747,2666,93,0
0,11,30816,1199,2476,2764,2650,95,0
0,12,30821,1205,2467,2778,2634,95,0
0,13,30781,1212,2456,2790,2665,96,0
0,14,30770,1215,2447,2809,2661,98,0
0,15,30769,1213,2440,2822,2656,100,0
0,16,30748,1213,2433,2845,2657,104,0
0,17,30732,1220,2418,2857,2668,105,0
0,18,30732,1226,2406,2865,2662,109,0
0,19,30714,1232,2391,2879,2673,111,0
0,20,30716,1233,2381,2892,2665,113,0
0,21,30711,1233,2368,2904,2667,117,0
0,22,30709,1236,2361,2916,2661,117,0
0,23,30716,1243,2350,2921,2650,120,0
0,24,30721,1246,2334,2934,2642,123,0
0,25,30743,1252,2322,2932,2624,127,0
0,26,30739,1254,2306,2951,2621,129,0
0,27,30741,1259,2294,2958,2617,131,0
0,28,30738,1262,2284,2962,2619,135,0
0,29,30739,1269,2266,2983,2608,135,0
0,30,30744,1278,2245,2990,2604,139,0
0,31,30749,1280,2237,2987,2606,141,0
0,32,30756,1282,2228,2990,2599,145,0
0,33,30755,1284,2217,3000,2594,150,0
0,34,30763,1280,2210,3007,2589,151,0
0,35,30753,1283,2202,3012,2596,154,0
0,36,30754,1286,2192,3021,2591,156,0
0,37,30741,1292,2181,3031,2598,157,0
0,38,30734,1289,2175,3038,2603,161,0
0,39,30751,1288,2168,3044,2585,164,0
0,40,30764,1285,2156,3049,2577,169,0
0,41,30781,1285,2141,3058,2562,173,0
0,42,30785,1282,2133,3064,2558,178,0
0,43,30788,1285,2123,3064,2560,180,0
0,44,30795,1291,2106,3077,2549,182,0
0,45,30806,1295,2097,3079,2541,182,0
0,46,30793,1302,2085,3081,2555,184,0
0,47,30792,1310,2072,3086,2554,186,0
0,48,30785,1315,2063,3092,2556,189,0
0,49,30772,1314,2056,3101,2565,192,0
0,50,30767,1315,2045,3113,2566,194,0
0,51,30777,1315,2037,3115,2557,199,0
0,52,30778,1321,2023,3120,2557,201,0
0,53,30767,1323,2013,3132,2562,203,0
0,54,30747,1321,2004,3146,2576,206,0
0,55,30748,1315,1999,3147,2579,212,0
0,56,30768,1318,1987,3152,2560,215,0
0,57,30771,1319,1979,3154,2559,218,0
0,58,30765,1318,1974,3160,2560,223,0
0,59,30787,1319,1964,3164,2539,227,0
0,60,30791,1314,1960,3169,2535,231,0
0,61,30801,1310,1951,3169,2533,236,0
0,62,30790,1303,1942,3185,2539,241,0
0,63,30797,1301,1930,3190,2538,244,0
0,64,30799,1303,1918,3196,2538,246,0
0,65,30795,1307,1913,3192,2545,248,0
0,66,30796,1302,1903,3200,2544,255,0
0,67,30809,1298,1893,3202,2539,259,0
0,68,30817,1297,1882,3212,2530,262,0
0,69,30813,1297,1876,3219,2529,266,0
0,70,30816,1295,1868,3225,2528,268,0
0,71,30809,1289,1861,3235,2530,276,0
0,72,30809,1286,1853,3237,2537,278,0
0,73,30795,1282,1845,3250,2545,283,0
0,74,30793,1278,1838,3263,2541,287,0
0,75,30795,1276,1827,3275,2535,292,0
0,76,30818,1279,1815,3278,2514,296,0
0,77,30835,1279,1805,3285,2497,299,0
0,78,30828,1275,1797,3292,2501,307,0
0,79,30826,1271,1791,3301,2502,309,0
0,80,30825,1268,1788,3317,2489,313,0
0,81,30814,1271,1780,3325,2494,316,0
0,82,30804,1263,1774,3335,2504,320,0
0,83,30827,1268,1762,3339,2482,322,0
0,84,30827,1268,1750,3348,2484,323,0
0,85,30831,1274,1743,3341,2487,324,0
0,86,30834,1277,1738,3353,2472,326,0
0,87,30831,1272,1731,3353,2481,332,0
0,88,30848,1273,1724,3361,2458,336,0
0,89,30842,1271,1720,3362,2463,342,0
0,90,30864,1266,1712,3368,2440,350,0
0,91,30875,1264,1701,3366,2440,354,0
0,92,30863,1261,1695,3368,2454,359,0
0,93,30844,1259,1693,3384,2460,360,0
0,94,30864,1261,1686,3387,2440,362,0
0,95,30870,1256,1682,3394,2430,368,0
0,96,30878,1249,1678,3396,2426,373,0
0,97,30883,1243,1677,3397,2421,379,0
0,98,30904,1243,1669,3394,2410,380,0
0,99,30907,1245,1662,3396,2405,385,0
0,100,30910,1245,1654,3401,2401,389,0
0,101,30910,1246,1651,3402,2399,392,0
0,102,30911,1244,1646,3404,2399,396,0
0,103,30880,1245,1641,3407,2430,397,0
0,104,30862,1243,1640,3412,2446,397,0
0,105,30871,1240,1637,3423,2429,400,0
0,106,30844,1239,1633,3427,2455,402,0
0,107,30841,1235,1631,3431,2454,408,0
0,108,30846,1230,1623,3438,2448,415,0
0,109,30838,1227,1617,3449,2450,419,0
0,110,30845,1231,1608,3450,2447,419,0
0,111,30839,1227,1604,3458,2450,422,0
0,112,30809,1226,1602,3467,2472,424,0
0,113,30797,1227,1596,3481,2471,428,0
0,114,30796,1224,1593,3498,2457,432,0
0,115,30801,1222,1592,3496,2455,434,0
0,116,30785,1214,1590,3505,2465,441,0
0,117,30770,1215,1581,3509,2484,441,0
0,118,30788,1216,1570,3508,2473,445,0
0,119,30766,1214,1564,3520,2487,449,0
0,120,30781,1210,1563,3525,2468,453,0
0,121,30756,1205,1562,3531,2489,457,0
0,122,30729,1204,1556,3536,2516,459,0
0,123,30736,1196,1554,3547,2501,466,0
0,124,30756,1191,1552,3554,2478,469,0
0,125,30745,1193,1545,3566,2479,472,0
0,126,30720,1197,1537,3579,2489,478,0
0,127,30712,1194,1535,3590,2489,480,0
0,128,30701,1193,1531,3596,2496,483,0
0,129,30685,1193,1527,3601,2509,485,0
0,130,30690,1190,1519,3617,2495,489,0
0,131,30694,1189,1516,3619,2494,488,0
0,132,30690,1189,1515,3618,2497,491,0
0,133,30671,1191,1513,3623,2507,495,0
0,134,30634,1194,1503,3629,2541,499,0
0,135,30623,1193,1498,3644,2539,503,0
0,136,30628,1192,1496,3645,2534,505,0
0,137,30618,1194,1490,3661,2531,506,0
0,138,30584,1190,1485,3663,2573,505,0
0,139,30553,1187,1481,3674,2593,512,0
0,140,30554,1182,1475,3678,2593,518,0
0,141,30527,1175,1473,3687,2620,518,0
0,142,30528,1168,1472,3688,2624,520,0
0,143,30525,1162,1469,3703,2612,529,0
0,144,30514,1156,1471,3717,2607,535,0
0,145,30499,1150,1470,3726,2617,538,0
0,146,30498,1148,1465,3738,2612,539,0
0,147,30512,1144,1461,3747,2590,546,0
0,148,30519,1141,1461,3748,2579,552,0
0,149,30512,1143,1451,3753,2585,556,0
0,150,30518,1141,1451,3756,2572,562,0
0,151,30539,1132,1442,3766,2556,565,0
0,152,30558,1131,1437,3766,2541,567,0
0,153,30535,1126,1435,3780,2552,572,0
0,154,30536,1126,1428,3781,2556,573,0
0,155,30515,1123,1424,3781,2580,577,0
0,156,30505,1123,1423,3793,2573,583,0
0,157,30493,1122,1422,3798,2580,585,0
0,158,30476,1117,1419,3809,2589,590,0
0,159,30456,1110,1418,3826,2594,596,0
0,160,30450,1108,1412,3826,2601,603,0
0,161,30428,1101,1408,3833,2628,602,0
0,162,30424,1100,1407,3842,2623,604,0
0,163,30440,1099,1402,3855,2596,608,0
0,164,30441,1095,1399,3865,2586,614,0
0,165,30428,1093,1398,3873,2587,621,0
0,166,30401,1092,1398,3878,2608,623,0
0,167,30398,1090,1396,3889,2600,627,0
0,168,30386,1089,1396,3898,2602,629,0
0,169,30399,1085,1394,3908,2577,637,0
0,170,30387,1082,1392,3911,2581,647,0
0,171,30381,1077,1393,3907,2590,652,0
0,172,30351,1077,1392,3915,2614,651,0
0,173,30360,1072,1390,3910,2609,659,0
0,174,30362,1068,1386,3913,2608,663,0
0,175,30352,1064,1385,3918,2617,664,0
0,176,30339,1063,1383,3924,2624,667,0
0,177,30313,1062,1383,3930,2644,668,0
0,178,30299,1061,1383,3933,2657,667,0
0,179,30312,1062,1376,3937,2639,674,0
0,180,30309,1056,1376,3941,2639,679,0
0,181,30328,1048,1373,3945,2622,684,0
0,182,30346,1043,1370,3944,2609,688,0
0,183,30355,1040,1372,3950,2594,689,0
0,184,30368,1040,1369,3951,2580,692,0
0,185,30358,1039,1368,3961,2575,699,0
0,186,30360,1035,1367,3975,2560,703,0
0,187,30362,1033,1366,3983,2547,709,0
0,188,30338,1035,1362,3990,2558,717,0
0,189,30329,1034,1361,4007,2549,720,0
0,190,30302,1034,1359,4019,2561,725,0
0,191,30303,1031,1358,4019,2555,734,0
0,192,30309,1030,1353,4022,2545,741,0
0,193,30289,1030,1346,4034,2554,747,0
0,194,30288,1029,1340,4046,2548,749,0
0,195,30279,1028,1340,4051,2546,756,0
0,196,30247,1027,1337,4065,2561,763,0
0,197,30247,1026,1334,4077,2549,767,0
0,198,30268,1023,1331,4084,2524,770,0
0,199,30258,1019,1332,4092,2520,779,0
0,200,30255,1020,1325,4111,2502,787,0
0,201,30255,1017,1321,4106,2510,791,0
0,202,30253,1013,1322,4120,2495,797,0
0,203,30255,1011,1313,4137,2481,803,0
0,204,30239,1015,1309,4152,2481,804,0
0,205,30244,1011,1312,4158,2458,817,0
0,206,30272,1007,1313,4155,2430,823,0
0,207,30264,1004,1313,4172,2420,827,0
0,208,30249,1002,1311,4183,2422,833,0
0,209,30244,1000,1310,4193,2417,836,0
0,210,30221,997,1308,4205,2428,841,0
0,211,30237,996,1306,4208,2407,846,0
0,212,30222,995,1309,4213,2412,849,0
0,213,30208,993,1310,4215,2420,854,0
0,214,30210,993,1310,4221,2407,859,0
0,215,30204,990,1310,4231,2399,866,0
0,216,30205,989,1311,4232,2390,873,0
0,217,30175,987,1309,4247,2410,872,0
0,218,30143,987,1307,4247,2441,875,0
0,219,30124,984,1308,4255,2450,879,0
0,220,30107,984,1304,4262,2459,884,0
0,221,30118,984,1300,4260,2442,896,0
0,222,30109,983,1303,4262,2444,899,0
0,223,30081,982,1303,4267,2469,898,0
0,224,30098,980,1306,4274,2442,900,0
0,225,30084,979,1304,4291,2439,903,0
0,226,30079,979,1304,4305,2426,907,0
0,227,30068,979,1307,4307,2432,907,0
0,228,30054,978,1304,4316,2436,912,0
0,229,30014,980,1301,4328,2462,915,0
0,230,30024,978,1302,4329,2436,931,0
0,231,30003,978,1296,4343,2450,930,0
0,232,29997,980,1294,4357,2436,936,0
0,233,29981,978,1291,4373,2433,944,0
0,234,29955,976,1294,4380,2446,949,0
0,235,29963,976,1293,4373,2442,953,0
0,236,29952,976,1290,4371,2454,957,0
0,237,29914,974,1288,4385,2474,965,0
0,238,29867,973,1289,4395,2507,969,0
0,239,29849,973,1290,4409,2496,983,0
0,240,29832,973,1288,4420,2503,984,0
0,241,29841,972,1286,4424,2480,997,0
0,242,29806,971,1286,4439,2498,1000,0
0,243,29800,968,1286,4451,2488,1007,0
0,244,29796,964,1287,4453,2484,1016,0
0,245,29816,963,1284,4456,2461,1020,0
0,246,29824,964,1284,4455,2448,1025,0
0,247,29823,961,1282,4466,2434,1034,0
0,248,29819,961,1276,4474,2430,1040,0
0,249,29805,963,1275,4475,2436,1046,0
0,250,29794,961,1280,4487,2422,1056,0
0,251,29758,961,1278,4494,2440,1069,0
0,252,29773,958,1280,4501,2411,1077,0
0,253,29733,955,1283,4499,2448,1082,0
0,254,29719,955,1287,4504,2451,1084,0
0,255,29709,952,1287,4513,2453,1086,0
0,256,29709,952,1285,4536,2420,1098,0
0,257,29721,949,1282,4533,2408,1107,0
0,258,29722,946,1284,4539,2394,1115,0
0,259,29706,943,1284,4552,2397,1118,0
0,260,29708,942,1283,4564,2377,1126,0
0,261,29665,943,1283,4571,2402,1136,0
0,262,29662,943,1284,4576,2391,1144,0
0,263,29655,946,1284,4578,2381,1156,0
0,264,29650,944,1287,4583,2371,1165,0
0,265,29621,941,1291,4584,2390,1173,0
0,266,29627,938,1291,4581,2380,1183,0
0,267,29638,938,1292,4576,2365,1191,0
0,268,29637,935,1292,4587,2347,1202,0
0,269,29640,933,1290,4588,2341,1208,0
0,270,29616,931,1291,4596,2354,1212,0
0,271,29610,928,1291,4608,2350,1213,0
0,272,29591,930,1287,4617,2351,1224,0
0,273,29573,929,1285,4625,2360,1228,0
0,274,29530,930,1284,4643,2373,1240,0
0,275,29510,928,1282,4654,2371,1255,0
0,276,29514,928,1282,4656,2359,1261,0
0,277,29498,924,1285,4655,2370,1268,0
0,278,29510,927,1282,4652,2344,1285,0
0,279,29530,922,1281,4662,2307,1298,0
0,280,29495,921,1282,4668,2323,1311,0
0,281,29488,919,1285,4664,2321,1323,0
0,282,29492,920,1282,4658,2318,1330,0
0,283,29491,920,1286,4660,2304,1339,0
0,284,29446,919,1287,4659,2336,1353,0
0,285,29428,919,1288,4663,2342,1360,0
0,286,29419,918,1289,4671,2335,1368,0
0,287,29397,917,1291,4679,2341,1375,0
0,288,29374,916,1292,4687,2348,1383,0
0,289,29366,916,1294,4696,2335,1393,0
0,290,29362,914,1295,4695,2332,1402,0
0,291,29360,914,1296,4688,2326,1416,0
0,292,29325,911,1294,4699,2346,1425,0
0,293,29307,909,1293,4698,2357,1436,0
0,294,29304,908,1297,4698,2352,1441,0
0,295,29297,905,1295,4710,2340,1453,0
0,296,29315,904,1298,4707,2311,1465,0
0,297,29315,902,1297,4707,2298,1481,0
0,298,29329,900,1293,4719,2265,1494,0
0,299,29327,898,1296,4721,2250,1508,0
0,300,29319,894,1298,4734,2230,1525,0
0,301,29295,894,1298,4732,2244,1537,0
0,302,29292,893,1300,4730,2228,1557,0
0,303,29267,891,1297,4736,2243,1566,0
0,304,29277,889,1296,4729,2227,1582,0
0,305,29243,888,1300,4724,2257,1588,0
0,306,29246,887,1302,4731,2233,1601,0
0,307,29229,888,1302,4736,2225,1620,0
0,308,29199,886,1306,4735,2242,1632,0
0,309,29205,882,1308,4739,2224,1642,0
0,310,29217,882,1310,4732,2211,1648,0
0,311,29209,880,1313,4744,2190,1664,0
0,312,29198,879,1316,4738,2193,1676,0
0,313,29183,879,1318,4740,2189,1691,0
0,314,29182,878,1320,4740,2177,1703,0
0,315,29184,875,1320,4735,2174,1712,0
0,316,29181,871,1321,4737,2166,1724,0
0,317,29188,872,1320,4727,2156,1737,0
0,318,29157,872,1320,4737,2170,1744,0
0,319,29134,872,1320,4746,2178,1750,0
0,320,29139,871,1320,4747,2163,1760,0
0,321,29124,868,1322,4755,2150,1781,0
0,322,29113,871,1319,4761,2147,1789,0
0,323,29110,869,1326,4754,2136,1805,0
0,324,29084,869,1334,4756,2140,1817,0
0,325,29083,870,1331,4760,2123,1833,0
0,326,29067,871,1330,4755,2132,1845,0
0,327,29044,873,1328,4757,2144,1854,0
0,328,29027,875,1330,4762,2142,1864,0
0,329,29031,876,1331,4762,2124,1876,0
0,330,29030,875,1329,4754,2115,1897,0
0,331,29007,872,1324,4766,2115,1916,0
0,332,29000,875,1325,4764,2101,1935,0
0,333,29004,874,1323,4764,2092,1943,0
0,334,29000,873,1322,4760,2090,1955,0
0,335,28988,873,1324,4761,2084,1970,0
0,336,29001,873,1320,4746,2074,1986,0
0,337,28982,872,1321,4751,2073,2001,0
0,338,28984,870,1316,4749,2068,2013,0
0,339,28970,871,1319,4757,2057,2026,0
0,340,28954,871,1322,4762,2055,2036,0
0,341,28925,873,1322,4772,2069,2039,0
0,342,28921,871,1322,4787,2050,2049,0
0,343,28915,875,1319,4788,2044,2059,0
0,344,28898,876,1322,4785,2044,2075,0
0,345,28905,875,1321,4785,2023,2091,0
0,346,28880,876,1319,4789,2038,2098,0
0,347,28859,875,1322,4775,2053,2116,0
0,348,28870,872,1323,4765,2043,2127,0
0,349,28877,872,1323,4750,2038,2140,0
0,350,28870,872,1322,4745,2041,2150,0
0,351,28861,875,1318,4745,2034,2167,0
0,352,28842,876,1320,4751,2028,2183,0
0,353,28845,878,1320,4747,2014,2196,0
0,354,28827,881,1320,4747,2003,2222,0
0,355,28818,880,1320,4743,2005,2234,0
0,356,28805,880,1320,4747,1989,2259,0
0,357,28797,879,1325,4749,1979,2271,0
0,358,28789,879,1327,4739,1984,2282,0
0,359,28768,879,1320,4739,1994,2300,0
0,360,28764,881,1319,4734,1985,2317,0
0,361,28747,878,1326,4720,1993,2336,0
0,362,28755,875,1326,4713,1974,2357,0
0,363,28756,877,1322,4700,1976,2369,0
0,364,28756,878,1317,4704,1962,2383,0
0,365,28746,878,1320,4707,1950,2399,0
0,366,28745,878,1323,4691,1952,2411,0
0,367,28734,877,1327,4694,1938,2430,0
0,368,28720,876,1333,4687,1938,2446,0
0,369,28701,878,1324,4695,1937,2465,0
0,370,28676,878,1327,4697,1951,2471,0
0,371,28680,880,1326,4702,1927,2485,0
0,372,28689,875,1328,4689,1913,2506,0
0,373,28694,875,1323,4683,1903,2522,0
